#separator:;
#html:true
#tags column:4
O IAM é um serviço zonal, regional ou global?;Global;Protege os dados do IAM em todas as Regiões da AWS. Contraste - VPC é regional e subnet é zonal.;SAA-C03 d1 IAM num
Uma VPC é um serviço zonal, regional ou global?;Regional;Ao ser criada, fica em uma Região e uma conta da AWS.;SAA-C03 d1 VPC num
Qual o nível de resiliência de uma subnet?;Zonal - resiliente ao nível de Zona de Disponibilidade;É por isso que alta disponibilidade exige subnets em múltiplas AZs.;SAA-C03 d1 VPC num
Por que o usuário raiz representa um risco estrutural na conta AWS?;Porque suas permissões totais NÃO podem ser alteradas;Não existe forma de limitar o root. Se ele for comprometido, todo o ambiente AWS está comprometido - não há contenção possível.;SAA-C03 d1 IAM def
Que permissões uma nova identidade IAM tem por padrão?;Nenhuma;Identidades IAM nascem sem permissões, que são concedidas conforme a necessidade. É o menor privilégio implementado no produto.;SAA-C03 d1 IAM def
Qual o efeito prático do princípio de menor privilégio em um incidente de segurança?;Limita o alcance do impacto da intercorrência;Uma credencial vazada com escopo estreito compromete pouco.;SAA-C03 d1 IAM def
Quando se deve codificar credenciais de forma rígida - hardcode - em uma aplicação?;Nunca;Usar roles do IAM, inclusive roles atribuídas a serviços da AWS.;SAA-C03 d1 IAM def
O que é uma política na AWS?;Um objeto que, ao ser associado a uma identidade ou a um recurso, define suas permissões;—;SAA-C03 d1 IAM def
Qual elemento estrutural distingue uma política baseada em recurso de uma baseada em identidade?;O elemento Principal, presente apenas na política de recurso;O Principal define quais principals são afetados pela política. É a diferença que o exame cobra.;SAA-C03 d1 IAM disc
Política de identidade controla o quê? E a de recurso?;Identidade controla QUAIS RECURSOS aquela identidade acessa. Recurso controla QUEM acessa aquele recurso;Em cenários cross-account, a política de recurso costuma ser a peça que falta.;SAA-C03 d1 IAM disc
Cite quatro recursos AWS que aceitam políticas baseadas em recurso.;Buckets do S3, filas do SQS, endpoints de VPC e chaves do KMS;—;SAA-C03 d1 IAM def
Que nível de domínio de políticas IAM o SAA-C03 exige?;Ler e interpretar documentos de política - não escrever políticas avançadas;Também exige conhecer as partes obrigatórias de uma declaração e a lógica de decisão do IAM com múltiplas políticas anexadas.;SAA-C03 d1 IAM def
Usuários já têm identidade no diretório corporativo e precisam acessar recursos AWS. Qual a abordagem?;Usar uma role do IAM para especificar as permissões dos usuários federados;A role recebe identidades da sua organização ou de um IdP de terceiros. Credenciais temporárias vêm do STS. Criar usuários IAM permanentes seria a resposta errada.;SAA-C03 d1 IAM cen
Qual serviço AWS emite credenciais de segurança temporárias?;AWS Security Token Service - STS;Usado para assumir roles dentro de uma conta, entre contas e em federação.;SAA-C03 d1 STS def
Security Group vs Network ACL - qual é stateful?;O Security Group;A NACL é stateless - o tráfego de retorno exige regra de saída explícita. SG só admite regras de permissão, a NACL avalia permitir e negar em ordem numérica.;SAA-C03 d1 VPC disc
Quais quatro componentes protegem as camadas de uma arquitetura multicamadas na VPC?;Security groups, network ACLs, tabelas de rota e NAT gateways;O exame cobra como funcionam juntos, não apenas isoladamente.;SAA-C03 d1 VPC def
O que é um VPC endpoint?;Um objeto de gateway criado dentro da VPC para conectar a serviços públicos da AWS sem precisar de Internet Gateway nem NAT Gateway;O tráfego não sai para a internet.;SAA-C03 d1 VPC def
Por que VPC Peering escala mal para expor uma aplicação a muitas VPCs?;Acrescenta sobrecarga de gerenciamento e expõe as demais aplicações da VPC às VPCs emparelhadas;O peering conecta a VPC inteira, não um serviço específico.;SAA-C03 d1 VPC disc
Como expor com segurança uma aplicação a centenas de VPCs em contas diferentes?;AWS PrivateLink;Expõe UM serviço, sem peering, sem Internet Gateway e sem NAT Gateway. Peering é a alternativa-armadilha.;SAA-C03 d1 PrivateLink cen
Em quais serviços AWS o AWS WAF pode ser implantado?;Application Load Balancer, Amazon API Gateway e Amazon CloudFront;Apenas esses três. Alternativa que propõe WAF em EC2 avulsa ou NLB está errada.;SAA-C03 d1 WAF num
Ataque de injeção SQL - WAF ou Shield? E ataque DDoS?;Injeção SQL é WAF. DDoS é Shield;WAF atua na camada de aplicação, Shield na de rede e transporte.;SAA-C03 d1 WAF disc
Qual serviço usa machine learning para descobrir e classificar dados sigilosos no S3?;Amazon Macie;É o serviço-resposta para PII. O vínculo com o S3 é o discriminador contra o GuardDuty, que analisa atividade e não conteúdo.;SAA-C03 d1 Macie cen
O que são dados PII?;Dados pessoais que estabelecem a identidade do indivíduo;Nome, endereço residencial, e-mail, CPF, carteira de motorista, passaporte, data de nascimento, conta bancária, cartão de crédito.;SAA-C03 d1 Macie def
Segredo com acesso de alto volume e alternância automática de credenciais - Secrets Manager ou Parameter Store?;AWS Secrets Manager;Foi projetado para segredos e pode forçar a alternância em um intervalo determinado de dias. A palavra rotação no enunciado decide a questão.;SAA-C03 d1 SecretsManager disc
Criptografia em repouso vs em trânsito - quantas partes estão envolvidas em cada uma?;Em repouso geralmente uma parte. Em trânsito duas ou mais;Repouso protege contra acesso não autorizado e roubo. Trânsito protege os dados enquanto transferidos entre dois locais.;SAA-C03 d1 KMS disc
Em criptografia, o que é texto simples - plaintext?;Qualquer dado NÃO criptografado;Nem sempre é texto - pode ser documento, imagem ou aplicação. O nome engana.;SAA-C03 d1 KMS def
De quais dois insumos um algoritmo de criptografia precisa?;Do texto simples e de uma chave;A saída é o texto cifrado.;SAA-C03 d1 KMS def
Quais são as três opções de criptografia server-side do Amazon S3?;SSE-C - chaves fornecidas pelo cliente. SSE-S3 - chaves gerenciadas pelo S3. SSE-KMS - chaves do KMS;Na server-side os dados trafegam via HTTPS e o próprio S3 os criptografa ao chegarem.;SAA-C03 d1 S3 num
Criptografia client-side vs server-side no S3 - onde ocorre a cifragem?;Client-side cifra ANTES de os dados chegarem ao S3. Server-side cifra quando os dados chegam;Com client-side você controla tudo.;SAA-C03 d1 S3 disc
Dados gerados em instância com volume EBS precisam ser protegidos mantendo durabilidade. Volume EBS criptografado ou transferir para bucket S3 criptografado?;Volume EBS criptografado;É o menor esforço operacional. Esse critério é recorrente no SAA-C03 e costuma eliminar a alternativa que move dados entre serviços.;SAA-C03 d1 EBS cen
Qual serviço dá acesso sob demanda à documentação de conformidade e aos acordos da AWS?;AWS Artifact;Portal de autoatendimento para recuperar artefatos de auditoria. Não é serviço operacional de segurança.;SAA-C03 d1 Artifact cen
Quais as cinco capacidades da perspectiva de segurança do AWS Cloud Adoption Framework?;IAM, controles de detecção, segurança de infraestrutura, proteção de dados e resposta a incidentes;—;SAA-C03 d1 CAF num
O que significa defesa em profundidade e quais suas duas categorias de controle?;Sobrepor múltiplos controles de segurança para gerar redundância. As categorias são preventivo e de detecção;—;SAA-C03 d1 CAF def
Quais são as quatro estratégias de recuperação de desastres na AWS, em ordem de custo e complexidade?;Backup e Restore, Pilot Light, Warm Standby e Multi-Site Ativo/Ativo;As três primeiras são ativo/passivo. Só a última é ativo/ativo.;SAA-C03 d1 DR num
Em uma estratégia ativo/passivo, quando o ambiente passivo passa a atender tráfego?;Somente quando um evento de failover é acionado;Até lá o ambiente passivo existe apenas para recuperação de desastres.;SAA-C03 d1 DR def
Se desastre significa perder um data center físico e a carga já é bem arquitetada e altamente disponível, qual estratégia de DR basta?;Backup e Restore;Pilot Light, Warm Standby ou Multi-Site só se ficam necessários quando o desastre abrange a perda de uma Região inteira ou há exigência regulatória.;SAA-C03 d1 DR cen
O que determina o ponto de recuperação alcançável, que deve atender ao RPO?;A frequência com que você executa o backup;O backup também precisa permitir restaurar ao ponto no tempo em que foi feito.;SAA-C03 d1 DR def
Qual o mecanismo de DR do S3 para copiar objetos para outra Região?;Cross-Region Replication - CRR;Copia objetos de forma assíncrona e contínua para um bucket na Região de DR. O S3 é a exceção - os demais serviços usam snapshot ou backup.;SAA-C03 d1 S3 disc
Qual serviço centraliza a configuração, o agendamento e o monitoramento de backups na AWS?;AWS Backup;Cobre EBS, EC2, RDS incluindo Aurora, DynamoDB, EFS, Storage Gateway, FSx for Windows File Server e FSx for Lustre. Suporta cópia de backups entre Regiões.;SAA-C03 d1 AWSBackup cen
Qual serviço AWS é a resposta padrão para cenários de backup em ambientes híbridos?;AWS Storage Gateway;—;SAA-C03 d1 StorageGateway cen
Quais são os três tipos de dados em armazenamento na nuvem?;Objeto, arquivo e bloco;—;SAA-C03 d1 S3 num
Quais os cinco requisitos básicos a planejar em armazenamento na nuvem?;Durabilidade, disponibilidade, segurança, regulamentação e governança, e requisitos funcionais;—;SAA-C03 d1 S3 num
